Station_ID,state_abbr,date,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa
KJFK_New_York,NY,2023-10-25,15.104166666666666,77.46875,14.634935625,16.0692599,0.0,1024.71103153125
KJFK_New_York,NY,2023-10-26,16.42361111111111,78.625,11.0642125,16.0692599,0.0,1022.25589878125
KJFK_New_York,NY,2023-10-27,17.395833333333332,79.46875,13.226763125,16.0692599,0.0,1018.31922040625
KJFK_New_York,NY,2023-10-28,20.868055555555557,70.5625,15.8922325,16.0692599,0.0,1015.6418558125
KJFK_New_York,NY,2023-10-29,12.997076023391813,84.76315789473684,16.77101684210526,12.74089067368421,4.318,1017.6458412105262
KJFK_New_York,NY,2023-10-30,13.657407407407407,89.70833333333333,14.58464375,9.369041033333334,15.239999999999998,1008.8338009166667
KJFK_New_York,NY,2023-10-31,9.253472222222223,57.5,14.48406,16.0692599,0.0,1016.88000465625
KJFK_New_York,NY,2023-11-01,6.736111111111111,62.28125,21.172879375,15.924419299999999,0.508,1017.2503910625
KJFK_New_York,NY,2023-11-02,6.075268817204301,55.58064516129032,14.48406,16.071596038709675,0.0,1030.6751060967742
KJFK_New_York,NY,2023-11-03,9.409722222222221,60.84375,19.261788125,16.0692599,0.0,1029.95993603125
KJFK_New_York,NY,2023-11-04,10.95486111111111,70.0,12.2712175,16.0692599,0.0,1022.04424940625
KJFK_New_York,NY,2023-11-05,12.534722222222221,62.53125,9.505164375,15.74336855,0.0,1016.58369553125
KJFK_New_York,NY,2023-11-06,9.82078853046595,69.2258064516129,12.718977419354838,16.071596038709675,0.0,1018.8336649354839
KJFK_New_York,NY,2023-11-07,14.340277777777779,74.90625,17.451280625,15.956606099999998,0.254,1008.805581
KJFK_New_York,NY,2023-11-08,8.211805555555555,48.8125,20.267625625,16.0692599,0.0,1016.83767478125
KJFK_New_York,NY,2023-11-09,11.033950617283951,74.55555555555556,11.354787777777778,16.071942133333334,0.0,1012.1355311666666
KJFK_New_York,NY,2023-11-10,9.39236111111111,65.8125,17.250113125,16.0692599,0.0,1018.70018928125
KJFK_New_York,NY,2023-11-11,8.28125,60.5,17.80332375,16.0692599,0.0,1025.79044334375
