turbine_id,state_abbr,county,project_name,year,turbine_capacity,t_hh,t_rd,t_rsa,t_ttlh,latitude,longitude
3111216,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.980099,-89.080956
3111392,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.953991,-89.123215
3111153,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.994057,-89.084778
3111227,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.95261,-89.075233
3111237,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.992493,-89.059227
3111199,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.936256,-89.084862
3111557,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.974461,-89.094398
3112237,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.947468,-89.100723
3111317,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.930386,-89.080757
3112209,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.979511,-89.070313
3112606,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.979527,-89.064819
3111351,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.992863,-89.079956
3112048,IL,Marshall County,Bennington,2021.0,2820.0,89.0,127.0,12667.69,152.4,40.951172,-89.05925
3135799,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.557194,-89.502296
3135705,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.619682,-89.355247
3135725,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.586391,-89.388397
3135717,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.631992,-89.370697
3135759,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.604992,-89.437294
3135741,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.589893,-89.412094
3135794,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.550392,-89.494995
3135701,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.609432,-89.345932
3135694,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.604351,-89.3358
3135740,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.576492,-89.410492
3135801,IL,Bureau County,Big Sky Wind,2011.0,2100.0,80.0,88.0,6082.12,124.1,41.581291,-89.504196
3135792,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.576492,-89.489891
3135773,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.589191,-89.461494
3135716,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.626091,-89.370506
3135756,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.602093,-89.434196
3135758,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.590794,-89.436493
3135720,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.602493,-89.375893
3135729,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.594093,-89.398193
3135706,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.639492,-89.355911
3135745,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.573391,-89.418198
3135800,IL,Bureau County,Big Sky Wind,2011.0,2100.0,80.0,88.0,6082.12,124.1,41.574692,-89.502495
3135700,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.618683,-89.341576
3135780,IL,Bureau County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.573994,-89.477295
3135761,IL,Lee County,Big Sky Wind,2011.0,2200.0,80.0,110.0,9503.32,135.0,41.597591,-89.441696
