record_id,flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,make_model,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,cost,damage,effect,wildlife_species,remarks,remains_collected,remains_sent_to_smithsonian,pilot_warned,number_struck,wildlife_size,people_injured,number_struck_actual
1094443,2021-03-14,3,2021,PEORIA INTL ARPT,IL,ALLEGIANT AIR,A-320,A  ,2.0,Approach,20.0,Overcast,No Precipitation,0.0,N,Not Specified,Unknown bird - large,Smithsonian Wildlife/Species Identification: No wildlife remains detected (No remains) Smithsonian Wildlife Identification Comments: No wildlife material found in sample received for ID.2-10 MARKED AS SEEN SO KEEPING SPECIES ENTRY AS UNKNONW LARGE FROM ORIGINAL REPORT.,1,0,No,1,Large,0.0,1.0
1094479,2021-03-22,3,2021,CHICAGO MIDWAY INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Virginia opossum,"During routine field insepctions, MDW OPS collected remains near the intersection of RWY 22R and TWY Q. WS later identified remains as a Virginia Opossum.",1,0,Unknown,1,Large,0.0,1.0
1094656,2021-04-07,4,2021,STEWART INTL AIRPORT,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,Airport Operations Officer L Emmel found 1 dead American Kestrel (Male) ON RWY 27 during a morning inspection between TWY A5 and TWY A6. DAY,1,0,Unknown,1,Small,0.0,1.0
1094889,2021-03-21,3,2021,CHICAGO O'HARE INTL ARPT,IL,REPUBLIC AIRLINES,EMB-170,A  ,2.0,Approach,0.0,Some Cloud,No Precipitation,0.0,N,Not Specified,Red-tailed hawk,"Pilot reported striking bird on approach. After taxiing in, the mechanic states that a sensor was sending a signal indicating an irregularity, but no visible damage noticed. Pilot from an alternate aircraft (T/N: N532GJ) also reported seeing remains on the runway. Wildlife Services confirmed bird was an After Second Year RTHA.",1,0,Yes,1,Medium,0.0,1.0
1094897,2021-03-25,3,2021,WESTCHESTER COUNTY ARPT,NY,FLEXJET,EMB-505 PHENOM 300 ,A  ,2.0,Approach,1500.0,Overcast,Fog,0.0,M?,Not Specified,American robin,FlexJet pilot informed Operations that during the pre-flight walk around damage was found on the #2 engine cowling. He further stated he believes the damage was incurred on approach into HPN the night before but initially did not notice any damage until the following day. The aircraft will undergo repairs and miss noticeable revenue service however estimates are not available at this time.,1,1,Yes,1,Small,0.0,1.0
1095025,2021-04-12,4,2021,CHICAGO EXECUTIVE ARPT,IL,BUSINESS,CITATION EXL,A  ,2.0,Approach,0.0,Overcast,No Precipitation,0.0,N,Not Specified,Gulls,NOTE: OWNER/ OPERATOR  NETJETS SALES INC,1,0,Unknown,1,Medium,0.0,1.0
1095069,2021-04-12,4,2021,CENTENNIAL ARPT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,DAY. 1 PHOTO.,1,0,Unknown,1,Small,0.0,1.0
1095070,2021-04-12,4,2021,WESTCHESTER COUNTY ARPT,NY,BUSINESS,CITATION X,A  ,2.0,Approach,1700.0,Overcast,Rain,0.0,N,Not Specified,Gulls,"Strike occurred on co-pilot front windshield, no damage. NOTE: OWNER/ OPERATOR  TEXTRON AVIATION INC/ Mountain Aviation",0,0,No,1,Medium,0.0,1.0
1095077,2021-04-12,4,2021,YAMPA VALLEY,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Horned lark,"Not Pilot reported, just found carcass during inspection. Found carcass of Horned Lark on runway during RWY inspection",1,0,Unknown,1,Small,0.0,1.0
1095795,2021-04-14,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Rock pigeon,Pigeon found during inspection,1,0,Unknown,1,Small,0.0,1.0
1095840,2021-04-15,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American robin,Found during inspection. DAY,1,0,Unknown,1,Small,0.0,1.0
1095841,2021-04-15,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Common grackle,Black bird found on inspection. DAY,1,0,Unknown,1,Small,0.0,1.0
1095852,2021-04-16,4,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Eastern meadowlark,Bird remains were found by maintenance employee on RWY 7. There weren t any bird strike reports from Pilots nor ATCT. DAY,1,0,Unknown,1,Small,0.0,1.0
1095871,2021-04-15,4,2021,EAGLE COUNTY REGIONAL,CO,SKYWEST AIRLINES,EMB-170,A  ,2.0,Landing Roll,0.0,Overcast,"Rain, Snow",0.0,N,Not Specified,Ring-billed gull,NO visible damage to aircraft pending maintenance inspection. ONE PHOTO,1,0,Yes,1,Medium,0.0,1.0
1096443,2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,American kestrel,Found during regular inspection. DAY,1,0,Unknown,1,Small,0.0,1.0
1096452,2021-04-09,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Western meadowlark,Bird found during inspection,1,0,Unknown,1,Small,0.0,1.0
1096473,2021-04-12,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,White-tailed jackrabbit,3:54 NIGHT.,1,0,Unknown,1,Large,0.0,1.0
1096485,2021-04-01,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Black-tailed jackrabbit,Jackrabbit found on east shoulder of RWY 17L/35R abeam P7 during morning inspection. A hawk was enjoying breakfast. Carcass removed and hawk hazed with sirens.,1,0,Unknown,1,Large,0.0,1.0
1096491,2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Black-tailed jackrabbit,Rabbit carcass found during routine lighting inspection.,1,0,Unknown,1,Large,0.0,1.0
1096496,2021-04-18,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,White-tailed jackrabbit,"During a routine electrical closure of RWY 16R/34L a rabbit carcass was found on the RWY just S of TWY D5, 10 ft E of C/L.",1,0,Unknown,1,Large,0.0,1.0
1096570,2021-04-21,4,2021,BUFFALO-NIAGARA INTL,NY,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Gulls,Not Specified,1,0,Unknown,1,Medium,0.0,1.0
1096816,2021-04-18,4,2021,CHICAGO O'HARE INTL ARPT,IL,UNKNOWN,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,0.0,Unknown,Not Specified,Mallard,Operations found two sets of remains during a nightly inspection in the 10C approach blast pad. Wildlife Services confirmed bird ID. NIGHT,1,0,Unknown,2-10,Medium,0.0,6.0
