id,ident,type,airport_name,latitude,longitude,elevation_ft,iso_region,municipality,scheduled_service,icao_code,iata_code,state_abbr,airport_name_clean
22682,N56,small_airport,Great Valley Airport,42.205101,-78.647202,1450.0,US-NY,Great Valley,no,,,NY,GREAT VALLEY AIRPORT
22685,N65,small_airport,Apex Airport,42.7295,-74.164001,1130.0,US-NY,Delanson,no,,,NY,APEX AIRPORT
22686,N72,small_airport,Warwick Municipal Airport,41.28760147094727,-74.28710174560547,540.0,US-NY,Warwick,no,,,NY,WARWICK MUNICIPAL AIRPORT
23144,NK0,seaplane_base,Maus Marineland Seaplane Base,42.81029891967773,-76.31079864501953,863.0,US-NY,New Hope,no,,,NY,MAUS MARINELAND SEAPLANE BASE
23145,NK01,small_airport,Countryman's Landing Strip,43.9995002746582,-75.60489654541016,790.0,US-NY,Carthage,no,,,NY,COUNTRYMAN'S LANDING STRIP
23146,NK04,small_airport,Shepard Airport,43.250099182128906,-75.99960327148438,463.0,US-NY,Constantia,no,,,NY,SHEPARD AIRPORT
23147,NK05,small_airport,Tom N' Jerry Airport,42.35480117797852,-76.51609802246094,1490.0,US-NY,Danby,no,,,NY,TOM N' JERRY AIRPORT
23149,NK07,small_airport,Big Island Airport,41.32789993286133,-74.40989685058594,410.0,US-NY,Goshen,no,,,NY,BIG ISLAND AIRPORT
23150,NK08,small_airport,Sheeley's Farm Airport,41.8317985534668,-74.12989807128906,260.0,US-NY,High Falls,no,,,NY,SHEELEY'S FARM AIRPORT
23151,NK09,small_airport,Eagle Ridge Airport,42.405999,-76.820011,1480.0,US-NY,Burdett,no,,,NY,EAGLE RIDGE AIRPORT
23152,NK10,heliport,D C Helicopters Heliport,42.49169921875,-77.50779724121094,1250.0,US-NY,Cohocton,no,,,NY,D C HELICOPTERS HELIPORT
23153,NK11,heliport,Troop B. Headquarters Heliport,44.30120086669922,-74.08070373535156,1663.0,US-NY,Saranac Lake,no,,,NY,TROOP B. HEADQUARTERS HELIPORT
23155,NK13,seaplane_base,Snyder's Lake Seaplane Base,42.65840148925781,-73.63849639892578,488.0,US-NY,Wynantskill,no,,,NY,SNYDER'S LAKE SEAPLANE BASE
23156,NK14,heliport,Little Falls Ems Heliport,42.04090118408203,-74.83679962158203,900.0,US-NY,Little Falls,no,,,NY,LITTLE FALLS EMS HELIPORT
23157,NK15,seaplane_base,Seventh Lake Seaplane Base,43.742801666259766,-74.76190185546875,1785.0,US-NY,Inlet,no,,,NY,SEVENTH LAKE SEAPLANE BASE
23158,NK16,small_airport,Hendricks Field,44.368099,-75.402397,480.0,US-NY,Gouverneur,no,,,NY,HENDRICKS FIELD
45674,NK17,small_airport,August Field,43.209361,-73.581711,131.0,US-NY,Gansevoort,no,,,NY,AUGUST FIELD
351266,NK18,heliport,Peconic Bay Medical Center Heliport,40.935262,-72.673348,85.0,US-NY,Riverhead,no,,,NY,PECONIC BAY MEDICAL CENTER HELIPORT
23159,NK19,small_airport,Potoczak Airport,43.06119918823242,-78.6613998413086,582.0,US-NY,Clarence Center,no,,,NY,POTOCZAK AIRPORT
45666,NK23,heliport,Tetz Landing Heliport,41.548667,-74.469722,961.0,US-NY,Bloomingburg,no,,,NY,TETZ LANDING HELIPORT
23161,NK24,small_airport,Tilden Airport,42.34775,-76.87035,900.0,US-NY,Montour Falls,no,,,NY,TILDEN AIRPORT
23162,NK25,small_airport,Cambria Airport,43.194157,-78.799381,380.0,US-NY,Lockport,no,,,NY,CAMBRIA AIRPORT
45660,NK26,small_airport,Old Forge Airport,43.725183,-74.976217,1753.0,US-NY,Old Forge,no,,,NY,OLD FORGE AIRPORT
23163,NK27,small_airport,Hedge Hop Field,42.488666,-78.634923,1400.0,US-NY,Springville,no,,,NY,HEDGE HOP FIELD
23164,NK28,heliport,Tgp-254 Heliport,42.48149871826172,-73.56289672851562,560.0,US-NY,Nassau,no,,,NY,TGP-254 HELIPORT
601667,NK29,heliport,Margaretville Hospital Heliport,42.147056,-74.642,1374.0,US-NY,Margaretville,no,,,NY,MARGARETVILLE HOSPITAL HELIPORT
23166,NK30,seaplane_base,Private Sealanes-Jamaica Bay Seaplane Base,40.60530090332031,-73.90229797363281,757.0,US-NY,Brooklyn,no,,,NY,PRIVATE SEALANES-JAMAICA BAY SEAPLANE BASE
23167,NK31,small_airport,Dawn Patrol Aviation Airport,43.26950073242188,-78.14530181884766,480.0,US-NY,Albion,no,,,NY,DAWN PATROL AVIATION AIRPORT
23169,NK33,heliport,Ny State Police - Troop T Heliport,42.6166992188,-73.7828979492,250.0,US-NY,Albany,no,,,NY,NY STATE POLICE - TROOP T HELIPORT
23170,NK34,heliport,St Luke's Memorial Hospital Heliport,43.09619903564453,-75.27629852294922,575.0,US-NY,Utica,no,,,NY,ST LUKE'S MEMORIAL HOSPITAL HELIPORT
537519,NK35,small_airport,Mariwill Airport,42.756528,-76.44375,1130.0,US-NY,Moravia,no,,,NY,MARIWILL AIRPORT
23171,NK37,heliport,Winthrop University Hospital Heliport,40.741798400878906,-73.64399719238281,156.0,US-NY,Mineola,no,,,NY,WINTHROP UNIVERSITY HOSPITAL HELIPORT
23172,NK38,heliport,Parker's Landing Heliport,41.65449905395508,-74.1404037475586,350.0,US-NY,Gardiner,no,,,NY,PARKER'S LANDING HELIPORT
23173,NK39,heliport,One Police Plaza Heliport,40.712239,-74.001703,244.0,US-NY,New York,no,,,NY,ONE POLICE PLAZA HELIPORT
23174,NK40,heliport,Regeneron Campus Heliport,41.112805,-73.862833,150.0,US-NY,North Tarrytown,no,,,NY,REGENERON CAMPUS HELIPORT
23175,NK41,heliport,Mather Hospital Heliport,40.94042,-73.05316,206.0,US-NY,Port Jefferson,no,,,NY,MATHER HOSPITAL HELIPORT
23176,NK42,heliport,St John's Episcopal Hospital Heliport,40.86949920654297,-73.2218017578125,130.0,US-NY,Smithtown,no,,,NY,ST JOHN'S EPISCOPAL HOSPITAL HELIPORT
23177,NK43,small_airport,Jerry Phibbs Airport,42.753296,-73.916528,340.0,US-NY,Schenectady,no,,,NY,JERRY PHIBBS AIRPORT
23178,NK45,heliport,St Charles Hospital Heliport,40.94649887084961,-73.06089782714844,500.0,US-NY,Port Jefferson,no,,,NY,ST CHARLES HOSPITAL HELIPORT
23180,NK48,heliport,Eastern Long Island Heliport,41.10969924926758,-72.36000061035156,6.0,US-NY,Greenport,no,,,NY,EASTERN LONG ISLAND HELIPORT
23181,NK49,heliport,IBM Owego Heliport,42.102442,-76.222945,907.0,US-NY,Owego,no,,,NY,IBM OWEGO HELIPORT
23182,NK50,heliport,St Mary's Hospital Elevated Heliport,42.954200744628906,-74.21540069580078,335.0,US-NY,Amsterdam,no,,,NY,ST MARY'S HOSPITAL ELEVATED HELIPORT
23184,NK53,small_airport,Dodge/Coppola/Wheeler Airport,42.20560073852539,-76.77050018310547,1030.0,US-NY,Sullivanville,no,,,NY,DODGE/COPPOLA/WHEELER AIRPORT
23185,NK54,small_airport,Matejka Field,42.176700592041016,-76.64109802246094,1690.0,US-NY,Erin,no,,,NY,MATEJKA FIELD
23186,NK55,heliport,Onondaga County Sheriff's Department Heliport,43.085046,-76.286897,400.0,US-NY,Warners,no,,,NY,ONONDAGA COUNTY SHERIFF'S DEPARTMENT HELIPORT
