flight_date,flight_month,flight_year,airport_name,origin_state_abbr,operator,aircraft_type,engines,flight_phase,altitude,conditions_sky,conditions_precipitation,wildlife_species,pilot_warned,wildlife_size,latitude,longitude,elevation_ft,nearest_turbine_km,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,season,migration_density,is_peak_migration,risk_target
2021-03-24,3,2021,LA GUARDIA ARPT,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,40.777199,-73.872597,21.0,17.1,10.99206349206349,87.33333333333333,19.50366809523809,11.90221882857143,27.686,1019.6662175,Spring,0.3325,0,2
2021-03-24,3,2021,DUPAGE AIRPORT,IL,UNKNOWN,Unknown,2.0,Climb,100.0,Some Cloud,No Precipitation,Gulls,Unknown,Medium,41.90779877,-88.24859619,759.0,32.16,11.925925925925926,77.8,24.461968,15.226502186666666,0.254,981.4661257333336,Spring,0.2941,0,1
2021-03-24,3,2021,DUPAGE AIRPORT,IL,BUSINESS,A  ,2.0,Climb,100.0,Overcast,No Precipitation,Gulls,No,Medium,41.90779877,-88.24859619,759.0,32.16,11.925925925925926,77.8,24.461968,15.226502186666666,0.254,981.4661257333336,Spring,0.2941,0,1
2021-03-26,3,2021,EAGLE COUNTY REGIONAL,CO,KEY LIME AIR,A  ,2.0,Approach,10.0,Some Cloud,No Precipitation,Unknown bird - small,No,Small,39.64260101,-106.9179993,6548.0,147.17,4.444444444444445,68.66666666666667,13.858205555555555,16.071942133333334,0.0,827.0693176666667,Spring,0.28,0,0
2021-03-29,3,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,39.861698,-104.672997,5431.0,14.11,10.9640522875817,30.823529411764707,27.07477882352941,15.34884358235294,0.0,823.0322095882353,Spring,0.28,0,2
2021-03-30,3,2021,WESTCHESTER COUNTY ARPT,NY,BUSINESS,A  ,2.0,Approach,3000.0,No Cloud,No Precipitation,Unknown bird - medium,No,Medium,41.066998,-73.707573,439.0,51.55,8.402777777777779,64.4375,20.92142,16.0692599,0.0,1027.35664871875,Spring,0.3325,0,0
2021-03-14,3,2021,PEORIA INTL ARPT,IL,ALLEGIANT AIR,A  ,2.0,Approach,20.0,Overcast,No Precipitation,Unknown bird - large,No,Large,40.664167,-89.693333,661.0,35.79,5.297619047619048,54.67857142857143,26.72653928571429,16.079605657142857,0.0,1003.0245295,Spring,0.2941,0,0
2021-03-22,3,2021,CHICAGO MIDWAY INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Virginia opossum,Unknown,Large,41.785999,-87.752197,620.0,8.59,13.86904761904762,40.0,15.978447142857144,16.079605657142857,0.0,993.228187,Spring,0.2941,0,2
2021-04-07,4,2021,STEWART INTL AIRPORT,NY,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,43.991901,-76.021698,325.0,27.4,12.5,49.375,11.617423125,16.0692599,0.0,1015.31379928125,Spring,0.4828,0,0
2021-03-21,3,2021,CHICAGO O'HARE INTL ARPT,IL,REPUBLIC AIRLINES,A  ,2.0,Approach,0.0,Some Cloud,No Precipitation,Red-tailed hawk,Yes,Medium,41.9786,-87.9048,680.0,4.16,11.230158730158731,40.785714285714285,16.15087642857143,16.079605657142857,0.0,999.7832705,Spring,0.2941,0,2
2021-03-25,3,2021,WESTCHESTER COUNTY ARPT,NY,FLEXJET,A  ,2.0,Approach,1500.0,Overcast,Fog,American robin,Yes,Small,41.066998,-73.707573,439.0,51.55,11.67777777777778,92.12,12.552852,3.259557236,0.762,1016.87196198,Spring,0.3325,0,0
2021-04-12,4,2021,CHICAGO EXECUTIVE ARPT,IL,BUSINESS,A  ,2.0,Approach,0.0,Overcast,No Precipitation,Gulls,Unknown,Medium,42.114222,-87.901494,647.0,17.91,12.507936507936508,65.51428571428572,17.51881542857143,15.853838245714286,0.0,983.5334362,Spring,0.4698,0,2
2021-04-12,4,2021,CENTENNIAL ARPT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American kestrel,Unknown,Small,39.5701,-104.849,5885.0,22.18,1.805555555555556,47.875,12.220925625,16.0692599,0.0,835.11552140625,Spring,0.4981,0,0
2021-04-12,4,2021,WESTCHESTER COUNTY ARPT,NY,BUSINESS,A  ,2.0,Approach,1700.0,Overcast,Rain,Gulls,No,Medium,41.066998,-73.707573,439.0,51.55,8.362573099415204,85.02631578947368,13.891145263157895,12.472385,18.796,1008.6362615,Spring,0.4828,0,0
2021-04-12,4,2021,YAMPA VALLEY,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Horned lark,Unknown,Small,40.481201,-107.218002,6606.0,180.19,1.805555555555556,47.875,12.220925625,16.0692599,0.0,835.11552140625,Spring,0.4981,0,0
2021-04-14,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Rock pigeon,Unknown,Small,39.861698,-104.672997,5431.0,14.11,3.368055555555556,55.0625,15.691065,16.0692599,0.0,835.66580978125,Spring,0.4981,0,1
2021-04-15,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,American robin,Unknown,Small,39.861698,-104.672997,5431.0,14.11,1.6666666666666667,82.15217391304348,26.76402391304348,8.360871156521739,13.97,830.5857646739131,Spring,0.4981,0,2
2021-04-15,4,2021,DENVER INTL AIRPORT,CO,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Common grackle,Unknown,Small,39.861698,-104.672997,5431.0,14.11,1.6666666666666667,82.15217391304348,26.76402391304348,8.360871156521739,13.97,830.5857646739131,Spring,0.4981,0,2
2021-04-16,4,2021,CHICAGO/ROCKFORD INTL ARPT,IL,UNKNOWN,Unknown,2.0,Unknown,0.0,Unknown,No Precipitation,Eastern meadowlark,Unknown,Small,42.1954,-89.097198,742.0,37.24,7.638888888888888,68.14285714285714,10.345757142857142,16.079605657142857,0.0,990.7851485,Spring,0.4698,0,0
